timestamp,temp_raw,ldr_raw,temp_calibrated,ldr_calibrated
2026-03-27T06:31:22Z,22.28,436,22.01,428
2026-03-27T06:31:23Z,21.83,428,22.145000000000003,432
2026-03-27T06:31:24Z,22.01,424,22.23,436
2026-03-27T06:31:25Z,22.29,445,22.01,445
2026-03-27T06:31:26Z,22.23,461,22.05,445
2026-03-27T06:31:27Z,21.88,449,22.05,449
2026-03-27T06:31:28Z,22.05,445,21.95,461
2026-03-27T06:31:29Z,21.95,461,21.95,461
2026-03-27T06:31:30Z,21.78,645,21.95,502
2026-03-27T06:31:31Z,22.43,453,21.95,502
2026-03-27T06:31:32Z,21.94,449,21.96,502
2026-03-27T06:31:33Z,21.99,432,21.96,498
2026-03-27T06:31:34Z,22.18,445,21.96,487
2026-03-27T06:31:35Z,21.96,429,22.15,485
2026-03-27T06:31:36Z,22.34,434,22.15,483
2026-03-27T06:31:37Z,22.31,420,22.15,482
2026-03-27T06:31:38Z,21.85,430,22.15,473
2026-03-27T06:31:39Z,22.18,413,22.15,466
2026-03-27T06:31:40Z,21.9,407,22.15,460
2026-03-27T06:31:41Z,22.24,397,22.21,454
2026-03-27T06:31:42Z,22.52,401,22.21,454
2026-03-27T06:31:43Z,22.5,401,22.21,454
2026-03-27T06:31:44Z,22.23,406,22.28,454
2026-03-27T06:31:45Z,22.21,403,22.2,454
2026-03-27T06:31:46Z,22.31,401,22.2,454
2026-03-27T06:31:47Z,22.19,394,22.28,450
2026-03-27T06:31:48Z,22.32,397,22.28,450
2026-03-27T06:31:49Z,22.74,395,22.26,450
2026-03-27T06:31:50Z,22.29,412,22.29,465
2026-03-27T06:31:51Z,22.12,414,22.26,467
2026-03-27T06:31:52Z,22.36,425,22.16,473
2026-03-27T06:31:53Z,22.16,420,22.16,478
2026-03-27T06:31:54Z,22.19,426,22.33,479
2026-03-27T06:31:55Z,22.8,440,22.33,486
2026-03-27T06:31:56Z,22.36,433,22.33,486
2026-03-27T06:31:57Z,22.39,443,22.36,493
2026-03-27T06:31:58Z,22.32,430,22.36,496
2026-03-27T06:31:59Z,22.47,444,22.36,497
2026-03-27T06:32:00Z,22.64,450,22.44,501
2026-03-27T06:32:01Z,22.31,450,22.44,501
2026-03-27T06:32:02Z,22.63,448,22.28,501
2026-03-27T06:32:03Z,21.94,431,22.28,501
2026-03-27T06:32:04Z,22.22,444,22.19,500
2026-03-27T06:32:05Z,22.34,453,22.19,497
2026-03-27T06:32:06Z,22.04,447,22.31,497
2026-03-27T06:32:07Z,22.78,428,22.31,486
2026-03-27T06:32:08Z,22.59,433,22.32,481
2026-03-27T06:32:09Z,22.14,420,22.56,473
2026-03-27T06:32:10Z,22.35,411,22.54,473
2026-03-27T06:32:11Z,22.84,409,22.49,464
2026-03-27T06:32:12Z,22.57,423,22.49,462
2026-03-27T06:32:13Z,22.52,396,22.53,449
2026-03-27T06:32:14Z,22.39,388,22.53,449
2026-03-27T06:32:15Z,22.56,389,22.49,449
2026-03-27T06:32:16Z,22.62,402,22.53,447
2026-03-27T06:32:17Z,22.3,398,22.53,451
2026-03-27T06:32:18Z,22.71,394,22.59,455
2026-03-27T06:32:19Z,22.55,421,22.52,451
2026-03-27T06:32:20Z,22.71,405,22.6,452
2026-03-27T06:32:21Z,22.52,392,22.52,458
